locator_type,mutant,result,failure_cause
absolute,mutant_beta(div)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_delta_prev(label)_attribute_identifier_modification.txt,success,"N/A"
absolute,mutant_delta_prev(label)_attribute_removal.txt,success,"N/A"
absolute,mutant_delta_prev(label)_attribute_value_modification.txt,success,"N/A"
absolute,mutant_delta_prev(label)_html_tag_movement_between_templates.txt,success,"N/A"
absolute,mutant_delta_prev(label)_html_tag_movement_to_root.txt,success,"N/A"
absolute,mutant_delta_prev(label)_html_tag_movement_within_container.txt,success,"N/A"
absolute,mutant_delta_prev(label)_html_tag_removal.txt,success,"N/A"
absolute,mutant_delta_prev(label)_html_tag_sibling_insertion.txt,success,"N/A"
absolute,mutant_delta_prev(label)_html_tag_type_modification.txt,success,"N/A"
absolute,mutant_delta_prev(label)_text_content_modification.txt,success,"N/A"
absolute,mutant_delta_prev(label)_text_content_removal.txt,success,"N/A"
absolute,mutant_epsilon(div)_attribute_identifier_modification.txt,success,"N/A"
absolute,mutant_epsilon(div)_attribute_removal.txt,success,"N/A"
absolute,mutant_epsilon(div)_attribute_value_modification.txt,success,"N/A"
absolute,mutant_epsilon(div)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_epsilon(div)_html_tag_movement_within_container.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_epsilon(div)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_epsilon(div)_html_tag_sibling_insertion.txt,success,"N/A"
absolute,mutant_epsilon(div)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_gamma(form)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_gamma(form)_html_tag_movement_to_root.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_gamma(form)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_gamma(form)_html_tag_sibling_insertion.txt,success,"N/A"
absolute,mutant_gamma(form)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
relative,mutant_alpha(input)_attribute_identifier_modification.txt,failure,"Selenium: NoSuchElementException"
relative,mutant_alpha(input)_attribute_removal.txt,failure,"Selenium: NoSuchElementException"
relative,mutant_alpha(input)_attribute_value_modification.txt,failure,"Selenium: NoSuchElementException"
relative,mutant_alpha(input)_html_tag_movement_between_templates.txt,success,"N/A"
relative,mutant_alpha(input)_html_tag_movement_to_root.txt,success,"N/A"
relative,mutant_alpha(input)_html_tag_movement_within_container.txt,success,"N/A"
relative,mutant_alpha(input)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
relative,mutant_alpha(input)_html_tag_sibling_insertion.txt,success,"N/A"
relative,mutant_alpha(input)_html_tag_type_modification.txt,failure,"Selenium: ElementNotInteractableException"
relative,mutant_beta(div)_attribute_identifier_modification.txt,success,"N/A"
relative,mutant_beta(div)_attribute_removal.txt,success,"N/A"
relative,mutant_beta(div)_attribute_value_modification.txt,success,"N/A"
relative,mutant_beta(div)_html_tag_movement_between_templates.txt,success,"N/A"
relative,mutant_beta(div)_html_tag_movement_to_root.txt,success,"N/A"
relative,mutant_beta(div)_html_tag_movement_within_container.txt,success,"N/A"
relative,mutant_beta(div)_html_tag_removal.txt,success,"N/A"
relative,mutant_beta(div)_html_tag_sibling_insertion.txt,success,"N/A"
relative,mutant_beta(div)_html_tag_type_modification.txt,success,"N/A"
relative,mutant_delta_prev(label)_attribute_identifier_modification.txt,success,"N/A"
relative,mutant_delta_prev(label)_attribute_removal.txt,success,"N/A"
relative,mutant_delta_prev(label)_attribute_value_modification.txt,success,"N/A"
relative,mutant_delta_prev(label)_html_tag_movement_between_templates.txt,success,"N/A"
relative,mutant_delta_prev(label)_html_tag_movement_to_root.txt,success,"N/A"
relative,mutant_delta_prev(label)_html_tag_movement_within_container.txt,success,"N/A"
relative,mutant_delta_prev(label)_html_tag_removal.txt,success,"N/A"
relative,mutant_delta_prev(label)_html_tag_sibling_insertion.txt,success,"N/A"
relative,mutant_delta_prev(label)_html_tag_type_modification.txt,success,"N/A"
relative,mutant_delta_prev(label)_text_content_modification.txt,success,"N/A"
relative,mutant_delta_prev(label)_text_content_removal.txt,success,"N/A"
relative,mutant_epsilon(div)_attribute_identifier_modification.txt,success,"N/A"
relative,mutant_epsilon(div)_attribute_removal.txt,success,"N/A"
relative,mutant_epsilon(div)_attribute_value_modification.txt,success,"N/A"
relative,mutant_epsilon(div)_html_tag_movement_between_templates.txt,success,"N/A"
relative,mutant_epsilon(div)_html_tag_movement_within_container.txt,success,"N/A"
relative,mutant_epsilon(div)_html_tag_removal.txt,success,"N/A"
relative,mutant_epsilon(div)_html_tag_sibling_insertion.txt,success,"N/A"
relative,mutant_epsilon(div)_html_tag_type_modification.txt,success,"N/A"
relative,mutant_gamma(form)_html_tag_movement_between_templates.txt,success,"N/A"
relative,mutant_gamma(form)_html_tag_movement_to_root.txt,success,"N/A"
relative,mutant_gamma(form)_html_tag_removal.txt,success,"N/A"
relative,mutant_gamma(form)_html_tag_sibling_insertion.txt,success,"N/A"
relative,mutant_gamma(form)_html_tag_type_modification.txt,success,"N/A"
robula,mutant_alpha(input)_attribute_identifier_modification.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_alpha(input)_attribute_removal.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_alpha(input)_attribute_value_modification.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_alpha(input)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_alpha(input)_html_tag_movement_to_root.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_alpha(input)_html_tag_movement_within_container.txt,success,"N/A"
robula,mutant_alpha(input)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_alpha(input)_html_tag_sibling_insertion.txt,success,"N/A"
robula,mutant_alpha(input)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_beta(div)_attribute_identifier_modification.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_beta(div)_attribute_removal.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_beta(div)_attribute_value_modification.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_beta(div)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_beta(div)_html_tag_movement_to_root.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_beta(div)_html_tag_movement_within_container.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_beta(div)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_beta(div)_html_tag_sibling_insertion.txt,success,"N/A"
robula,mutant_beta(div)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_delta_prev(label)_attribute_identifier_modification.txt,success,"N/A"
robula,mutant_delta_prev(label)_attribute_removal.txt,success,"N/A"
robula,mutant_delta_prev(label)_attribute_value_modification.txt,success,"N/A"
robula,mutant_delta_prev(label)_html_tag_movement_between_templates.txt,success,"N/A"
robula,mutant_delta_prev(label)_html_tag_movement_to_root.txt,success,"N/A"
robula,mutant_delta_prev(label)_html_tag_movement_within_container.txt,success,"N/A"
robula,mutant_delta_prev(label)_html_tag_removal.txt,success,"N/A"
robula,mutant_delta_prev(label)_html_tag_sibling_insertion.txt,success,"N/A"
robula,mutant_delta_prev(label)_html_tag_type_modification.txt,success,"N/A"
robula,mutant_delta_prev(label)_text_content_modification.txt,success,"N/A"
robula,mutant_delta_prev(label)_text_content_removal.txt,success,"N/A"
robula,mutant_epsilon(div)_attribute_identifier_modification.txt,success,"N/A"
robula,mutant_epsilon(div)_attribute_removal.txt,success,"N/A"
robula,mutant_epsilon(div)_attribute_value_modification.txt,success,"N/A"
robula,mutant_epsilon(div)_html_tag_movement_between_templates.txt,success,"N/A"
robula,mutant_epsilon(div)_html_tag_movement_within_container.txt,success,"N/A"
robula,mutant_epsilon(div)_html_tag_removal.txt,success,"N/A"
robula,mutant_epsilon(div)_html_tag_sibling_insertion.txt,success,"N/A"
robula,mutant_epsilon(div)_html_tag_type_modification.txt,success,"N/A"
robula,mutant_gamma(form)_html_tag_movement_between_templates.txt,success,"N/A"
robula,mutant_gamma(form)_html_tag_movement_to_root.txt,success,"N/A"
robula,mutant_gamma(form)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
robula,mutant_gamma(form)_html_tag_sibling_insertion.txt,success,"N/A"
robula,mutant_gamma(form)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
selenium,mutant_alpha(input)_attribute_identifier_modification.txt,failure,"Selenium: NoSuchElementException"
selenium,mutant_alpha(input)_attribute_removal.txt,failure,"Selenium: NoSuchElementException"
selenium,mutant_alpha(input)_attribute_value_modification.txt,failure,"Selenium: NoSuchElementException"
selenium,mutant_alpha(input)_html_tag_movement_between_templates.txt,success,"N/A"
selenium,mutant_alpha(input)_html_tag_movement_to_root.txt,success,"N/A"
selenium,mutant_alpha(input)_html_tag_movement_within_container.txt,success,"N/A"
selenium,mutant_alpha(input)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
selenium,mutant_alpha(input)_html_tag_sibling_insertion.txt,success,"N/A"
selenium,mutant_alpha(input)_html_tag_type_modification.txt,failure,"Selenium: ElementNotInteractableException"
selenium,mutant_beta(div)_attribute_identifier_modification.txt,success,"N/A"
selenium,mutant_beta(div)_attribute_removal.txt,success,"N/A"
selenium,mutant_beta(div)_attribute_value_modification.txt,success,"N/A"
selenium,mutant_beta(div)_html_tag_movement_between_templates.txt,success,"N/A"
selenium,mutant_beta(div)_html_tag_movement_to_root.txt,success,"N/A"
selenium,mutant_beta(div)_html_tag_movement_within_container.txt,success,"N/A"
selenium,mutant_beta(div)_html_tag_removal.txt,success,"N/A"
selenium,mutant_beta(div)_html_tag_sibling_insertion.txt,success,"N/A"
selenium,mutant_beta(div)_html_tag_type_modification.txt,success,"N/A"
selenium,mutant_delta_prev(label)_attribute_identifier_modification.txt,success,"N/A"
selenium,mutant_delta_prev(label)_attribute_removal.txt,success,"N/A"
selenium,mutant_delta_prev(label)_attribute_value_modification.txt,success,"N/A"
selenium,mutant_delta_prev(label)_html_tag_movement_between_templates.txt,success,"N/A"
selenium,mutant_delta_prev(label)_html_tag_movement_to_root.txt,success,"N/A"
selenium,mutant_delta_prev(label)_html_tag_movement_within_container.txt,success,"N/A"
selenium,mutant_delta_prev(label)_html_tag_removal.txt,success,"N/A"
selenium,mutant_delta_prev(label)_html_tag_sibling_insertion.txt,success,"N/A"
selenium,mutant_delta_prev(label)_html_tag_type_modification.txt,success,"N/A"
selenium,mutant_delta_prev(label)_text_content_modification.txt,success,"N/A"
selenium,mutant_delta_prev(label)_text_content_removal.txt,success,"N/A"
selenium,mutant_epsilon(div)_attribute_identifier_modification.txt,success,"N/A"
selenium,mutant_epsilon(div)_attribute_removal.txt,success,"N/A"
selenium,mutant_epsilon(div)_attribute_value_modification.txt,success,"N/A"
selenium,mutant_epsilon(div)_html_tag_movement_between_templates.txt,success,"N/A"
selenium,mutant_epsilon(div)_html_tag_movement_within_container.txt,success,"N/A"
selenium,mutant_epsilon(div)_html_tag_removal.txt,success,"N/A"
selenium,mutant_epsilon(div)_html_tag_sibling_insertion.txt,success,"N/A"
selenium,mutant_epsilon(div)_html_tag_type_modification.txt,success,"N/A"
selenium,mutant_gamma(form)_html_tag_movement_between_templates.txt,success,"N/A"
selenium,mutant_gamma(form)_html_tag_movement_to_root.txt,success,"N/A"
selenium,mutant_gamma(form)_html_tag_removal.txt,success,"N/A"
selenium,mutant_gamma(form)_html_tag_sibling_insertion.txt,success,"N/A"
selenium,mutant_gamma(form)_html_tag_type_modification.txt,success,"N/A"
katalon,mutant_alpha(input)_attribute_identifier_modification.txt,failure,"Selenium: NoSuchElementException"
katalon,mutant_alpha(input)_attribute_removal.txt,failure,"Selenium: NoSuchElementException"
katalon,mutant_alpha(input)_attribute_value_modification.txt,failure,"Selenium: NoSuchElementException"
katalon,mutant_alpha(input)_html_tag_movement_between_templates.txt,success,"N/A"
katalon,mutant_alpha(input)_html_tag_movement_to_root.txt,success,"N/A"
katalon,mutant_alpha(input)_html_tag_movement_within_container.txt,success,"N/A"
katalon,mutant_alpha(input)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
katalon,mutant_alpha(input)_html_tag_sibling_insertion.txt,success,"N/A"
katalon,mutant_alpha(input)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
katalon,mutant_beta(div)_attribute_identifier_modification.txt,success,"N/A"
katalon,mutant_beta(div)_attribute_removal.txt,success,"N/A"
katalon,mutant_beta(div)_attribute_value_modification.txt,success,"N/A"
katalon,mutant_beta(div)_html_tag_movement_between_templates.txt,success,"N/A"
katalon,mutant_beta(div)_html_tag_movement_to_root.txt,success,"N/A"
katalon,mutant_beta(div)_html_tag_movement_within_container.txt,success,"N/A"
katalon,mutant_beta(div)_html_tag_removal.txt,success,"N/A"
katalon,mutant_beta(div)_html_tag_sibling_insertion.txt,success,"N/A"
katalon,mutant_beta(div)_html_tag_type_modification.txt,success,"N/A"
katalon,mutant_delta_prev(label)_attribute_identifier_modification.txt,success,"N/A"
katalon,mutant_delta_prev(label)_attribute_removal.txt,success,"N/A"
katalon,mutant_delta_prev(label)_attribute_value_modification.txt,success,"N/A"
katalon,mutant_delta_prev(label)_html_tag_movement_between_templates.txt,success,"N/A"
katalon,mutant_delta_prev(label)_html_tag_movement_to_root.txt,success,"N/A"
katalon,mutant_delta_prev(label)_html_tag_movement_within_container.txt,success,"N/A"
katalon,mutant_delta_prev(label)_html_tag_removal.txt,success,"N/A"
katalon,mutant_delta_prev(label)_html_tag_sibling_insertion.txt,success,"N/A"
katalon,mutant_delta_prev(label)_html_tag_type_modification.txt,success,"N/A"
katalon,mutant_delta_prev(label)_text_content_modification.txt,success,"N/A"
katalon,mutant_delta_prev(label)_text_content_removal.txt,success,"N/A"
katalon,mutant_epsilon(div)_attribute_identifier_modification.txt,success,"N/A"
katalon,mutant_epsilon(div)_attribute_removal.txt,success,"N/A"
katalon,mutant_epsilon(div)_attribute_value_modification.txt,success,"N/A"
katalon,mutant_epsilon(div)_html_tag_movement_between_templates.txt,success,"N/A"
katalon,mutant_epsilon(div)_html_tag_movement_within_container.txt,success,"N/A"
katalon,mutant_epsilon(div)_html_tag_removal.txt,success,"N/A"
katalon,mutant_epsilon(div)_html_tag_sibling_insertion.txt,success,"N/A"
katalon,mutant_epsilon(div)_html_tag_type_modification.txt,success,"N/A"
katalon,mutant_gamma(form)_html_tag_movement_between_templates.txt,success,"N/A"
katalon,mutant_gamma(form)_html_tag_movement_to_root.txt,success,"N/A"
katalon,mutant_gamma(form)_html_tag_removal.txt,success,"N/A"
katalon,mutant_gamma(form)_html_tag_sibling_insertion.txt,success,"N/A"
katalon,mutant_gamma(form)_html_tag_type_modification.txt,success,"N/A"
